step,cells_count,hierarchy_depth,agents_time
64,5,1,2.642449140548706
65,5,1,2.503007650375366
66,5,1,2.4964675903320312
67,5,1,2.500518083572388
68,5,1,2.6090071201324463
69,5,1,2.512486219406128
70,5,1,2.5330631732940674
71,5,1,2.5322134494781494
72,5,1,2.552464246749878
73,5,1,2.50177001953125
74,5,1,2.6048293113708496
75,5,1,2.518825054168701
76,5,1,2.5172903537750244
77,5,1,2.52151107788086
78,5,1,2.510516881942749
79,5,1,2.626648187637329
80,5,1,2.514604330062866
81,5,1,2.5008950233459477
82,5,1,2.593134641647339
83,5,1,2.8988442420959477
84,5,1,2.9112863540649414
85,5,1,3.0811898708343506
86,5,1,2.704444169998169
87,5,1,2.5133676528930664
88,5,1,2.518818616867065
89,5,1,2.6179707050323486
90,5,1,2.519646167755127
91,5,1,2.5087461471557617
92,5,1,2.596251964569092
93,5,1,2.6112148761749268
94,5,1,2.5037617683410645
95,5,1,2.4923083782196045
96,5,1,2.6001055240631104
97,5,1,2.5167460441589355
98,5,1,2.5142910480499268
99,5,1,2.49967622756958
100,5,1,2.500269889831543
101,5,1,2.516893148422241
102,5,1,2.6161646842956543
103,5,1,2.634359121322632
104,5,1,2.500221967697144
105,5,1,2.537055015563965
106,5,1,2.506948232650757
107,5,1,2.5306198596954346
108,5,1,2.6886961460113525
109,5,1,2.890386819839477
110,5,1,2.89397406578064
111,5,1,2.532379627227783
112,5,1,2.484484910964966
113,5,1,2.5033137798309326
114,5,1,2.503556489944458
115,5,1,2.501789093017578
116,5,1,2.50571084022522
117,5,1,2.5124270915985107
118,5,1,2.5147664546966557
119,5,1,2.50886869430542
120,5,1,2.507568597793579
121,5,1,2.502015352249145
122,5,1,2.491166591644287
123,5,1,2.5071961879730225
124,5,1,2.5205862522125244
125,5,1,2.580449342727661
126,5,1,2.5464835166931152
127,5,1,2.5642707347869877
128,5,1,2.7059011459350586
129,5,1,2.6357460021972656
130,5,1,2.5100135803222656
131,5,1,2.555081605911255
132,5,1,2.506329298019409
133,5,1,2.4948503971099854
134,5,1,2.512063980102539
135,5,1,2.524441719055176
136,5,1,2.49773383140564
137,5,1,2.5938351154327397
138,5,1,2.4997966289520264
139,5,1,2.497523784637451
140,5,1,2.5198678970336914
141,5,1,2.5119664669036865
142,5,1,2.610823631286621
143,5,1,2.5441718101501465
144,5,1,2.545701026916504
145,5,1,2.644237995147705
146,5,1,2.5379350185394287
147,5,1,2.540107727050781
148,5,1,2.6588499546051025
149,5,1,2.5042505264282227
150,5,1,2.502694606781006
151,5,1,2.52201247215271
152,5,1,2.610315322875977
153,5,1,2.5136280059814453
154,5,1,2.5003485679626465
155,5,1,2.5190625190734863
156,5,1,2.641508817672729
157,5,1,2.543079137802124
158,5,1,2.500145673751831
159,5,1,2.525748014450073
160,5,1,2.6199679374694824
161,5,1,2.5086476802825928
162,5,1,2.511725425720215
163,5,1,2.4979500770568848
164,5,1,2.658369779586792
165,5,1,2.55086612701416
166,5,1,2.51211929321289
167,5,1,2.507403612136841
168,5,1,2.622241258621216
169,5,1,2.5219404697418213
170,5,1,2.5096566677093506
171,5,1,2.5151126384735107
172,5,1,2.6147656440734863
173,5,1,2.5096688270568848
174,5,1,2.5002360343933105
175,5,1,2.628700256347656
176,5,1,2.506253480911255
177,5,1,2.5127198696136475
178,5,1,2.610902070999145
179,5,1,2.516961097717285
180,5,1,2.5138885974884038
181,5,1,2.65893030166626
182,5,1,2.564244031906128
183,5,1,2.507735252380371
184,5,1,2.627594232559204
185,5,1,2.538895845413208
186,5,1,2.5123543739318848
187,5,1,2.514280319213867
188,5,1,2.5160090923309326
189,5,1,2.614081859588623
190,5,1,2.500199794769287
191,5,1,2.5013251304626465
192,5,1,2.658833265304565
1,5,1,2.5361487865448
2,5,1,1.7696306705474854
3,5,1,2.659696102142334
4,5,1,2.531851291656494
5,5,1,2.5096354484558105
6,5,1,2.667304515838623
7,5,1,2.719463586807251
8,5,1,2.512299060821533
9,5,1,2.633985757827759
10,5,1,2.548633813858032
11,5,1,2.620551109313965
12,5,1,2.5695509910583496
13,5,1,2.539377450942993
14,5,1,2.669775009155273
15,5,1,2.526291847229004
16,5,1,2.5005033016204834
17,5,1,2.635378837585449
18,5,1,2.50382399559021
19,5,1,2.520937919616699
20,5,1,2.5046944618225098
21,5,1,2.62405014038086
22,5,1,2.526521921157837
23,5,1,2.538691282272339
24,5,1,2.624274730682373
25,5,1,2.524930000305176
26,5,1,2.513192653656006
27,5,1,2.638834238052368
28,5,1,2.552985906600952
29,5,1,2.516030550003052
30,5,1,2.6347217559814453
31,5,1,2.522532224655152
32,5,1,2.5050740242004395
33,5,1,2.6094207763671875
34,5,1,2.546880960464477
35,5,1,2.509681940078736
36,5,1,2.511953115463257
37,5,1,2.626091480255127
38,5,1,2.519681215286255
39,5,1,2.5347416400909424
40,5,1,2.5175328254699707
41,5,1,2.627646207809448
42,5,1,2.568579912185669
43,5,1,2.551395893096924
44,5,1,2.6724112033843994
45,5,1,2.5594847202301025
46,5,1,2.564866542816162
47,5,1,2.723296642303467
48,5,1,2.53582763671875
49,5,1,2.5752415657043457
50,5,1,2.556038379669189
51,5,1,2.6606218814849854
52,5,1,2.545883655548096
53,5,1,2.603853702545166
54,5,1,2.5758697986602783
55,5,1,2.6806485652923584
56,5,1,2.572685956954956
57,5,1,2.5200212001800537
58,5,1,2.6179165840148926
59,5,1,2.521939277648926
60,5,1,2.512648344039917
61,5,1,2.673083782196045
62,5,1,2.5394415855407715
63,5,1,2.5307180881500244
64,5,1,2.5320370197296143
65,5,1,2.626100778579712
66,5,1,2.5238656997680664
67,5,1,2.5379340648651123
68,5,1,2.5095763206481934
69,5,1,2.6220295429229736
70,5,1,2.5167312622070312
71,5,1,2.524364709854126
72,5,1,2.629673957824707
73,5,1,2.526914596557617
74,5,1,2.501294612884521
75,5,1,2.5194661617279053
76,5,1,2.5348711013793945
77,5,1,2.527735710144043
78,5,1,2.6182351112365723
79,5,1,2.5492944717407227
80,5,1,2.523519515991211
81,5,1,2.621543884277344
82,5,1,2.508713483810425
83,5,1,2.542527675628662
84,5,1,2.5165648460388184
85,5,1,2.514156579971313
86,5,1,2.5196328163146973
87,5,1,2.504622459411621
88,5,1,2.51343035697937
89,5,1,2.5064096450805664
90,5,1,2.5183145999908447
91,5,1,2.5044615268707275
92,5,1,2.512864828109741
93,5,1,2.5231809616088867
94,5,1,2.500083923339844
95,5,1,2.508774995803833
96,5,1,2.500321626663208
97,5,1,2.5052144527435303
98,5,1,2.516550064086914
99,5,1,2.800974607467652
100,5,1,2.548076868057251
101,5,1,2.6010329723358154
102,5,1,2.534785270690918
103,5,1,2.5076804161071777
104,5,1,2.508850574493408
105,5,1,2.5056686401367188
106,5,1,2.5086236000061035
107,5,1,2.506258010864258
108,5,1,2.496501445770264
109,5,1,2.4925551414489746
110,5,1,2.493839263916016
111,5,1,2.5028560161590576
112,5,1,2.5036466121673584
113,5,1,2.5069143772125244
114,5,1,2.500633716583252
115,5,1,2.5175881385803223
116,5,1,2.497976541519165
117,5,1,2.505754947662353
118,5,1,2.509450674057007
119,5,1,2.5119616985321045
120,5,1,2.544451951980591
121,5,1,2.4895987510681152
122,5,1,2.502575159072876
123,5,1,2.509204864501953
124,5,1,2.5049397945404053
125,5,1,2.512531280517578
126,5,1,2.5084543228149414
127,5,1,2.5131218433380127
128,5,1,2.498862743377685
129,5,1,2.53726863861084
130,5,1,2.5266003608703613
131,5,1,2.541818141937256
132,5,1,2.529762029647827
133,5,1,2.528965711593628
134,5,1,2.5180366039276123
135,5,1,2.5394299030303955
136,5,1,2.523407220840454
137,5,1,2.535139322280884
138,5,1,2.6766467094421387
139,5,1,2.517171621322632
140,5,1,2.552436590194702
141,5,1,2.677386283874512
142,5,1,2.5496692657470703
143,5,1,2.546527624130249
144,5,1,2.650512218475342
145,5,1,2.544060707092285
146,5,1,2.552992105484009
147,5,1,2.6397767066955566
148,5,1,2.53057861328125
149,5,1,2.5037100315093994
150,5,1,2.6107289791107178
151,5,1,2.53659987449646
152,5,1,2.536182165145874
153,5,1,2.4998018741607666
154,5,1,2.641021728515625
155,5,1,2.5112180709838867
156,5,1,2.51431941986084
157,5,1,2.523811817169189
158,5,1,2.6371963024139404
159,5,1,2.519613265991211
160,5,1,2.4973928928375244
161,5,1,2.5074172019958496
162,5,1,2.6121559143066406
163,5,1,2.4976651668548584
164,5,1,2.5031838417053223
165,5,1,2.5052552223205566
166,5,1,2.629213809967041
167,5,1,2.5059380531311035
168,5,1,2.5218629837036133
169,5,1,2.5003223419189453
170,5,1,2.6179256439208984
171,5,1,2.533466339111328
172,5,1,2.530005693435669
173,5,1,2.659493923187256
174,5,1,2.538405418395996
175,5,1,2.5617098808288574
176,5,1,2.6550440788269043
177,5,1,2.5318048000335693
178,5,1,2.5330543518066406
179,5,1,2.653266668319702
180,5,1,2.5588440895080566
181,5,1,2.519031524658203
182,5,1,2.606607675552368
183,5,1,2.5103118419647217
184,5,1,2.509283304214477
185,5,1,2.630406141281128
186,5,1,2.5221848487854004
187,5,1,2.516913652420044
188,5,1,2.63203239440918
189,5,1,2.5185978412628174
190,5,1,2.5148770809173584
191,5,1,2.629148483276367
192,5,1,2.527749538421631
1,5,1,2.591256856918335
2,5,1,1.636143445968628
3,5,1,2.5132527351379395
4,5,1,2.611592054367065
5,5,1,2.640832901000977
6,5,1,2.505178213119507
7,5,1,2.5032966136932373
8,5,1,2.613755464553833
9,5,1,2.513049840927124
10,5,1,2.507354974746704
11,5,1,2.617897748947144
12,5,1,2.552025318145752
13,5,1,2.506784677505493
14,5,1,2.5000388622283936
15,5,1,2.626676321029663
16,5,1,2.5045583248138428
17,5,1,2.512859582901001
18,5,1,2.618647813796997
19,5,1,2.5290441513061523
20,5,1,2.517401218414306
21,5,1,2.6414477825164795
22,5,1,2.535231113433838
23,5,1,2.544963836669922
24,5,1,2.540014266967773
25,5,1,2.685694456100464
26,5,1,2.5808322429656982
27,5,1,2.576737642288208
28,5,1,2.7027359008789062
29,5,1,2.696967363357544
30,5,1,2.5676932334899902
31,5,1,2.6572422981262207
32,5,1,2.578911066055298
33,5,1,2.540112018585205
34,5,1,2.6617701053619385
35,5,1,2.5353200435638428
36,5,1,2.545764446258545
37,5,1,2.6165707111358643
38,5,1,2.5326385498046875
39,5,1,2.5369200706481934
40,5,1,2.5142862796783447
41,5,1,2.647361993789673
42,5,1,2.5039544105529785
43,5,1,2.490568161010742
44,5,1,2.505747079849243
45,5,1,2.6058058738708496
46,5,1,2.495582103729248
47,5,1,2.486130952835083
48,5,1,2.6193904876708984
49,5,1,2.6977102756500244
50,5,1,2.495958089828491
51,5,1,2.6302194595336914
52,5,1,2.550434112548828
53,5,1,2.505871295928955
54,5,1,2.5639023780822754
55,5,1,2.6553988456726074
56,5,1,2.539463758468628
57,5,1,2.51740837097168
58,5,1,2.498260974884033
59,5,1,2.5157675743103027
60,5,1,2.509711980819702
61,5,1,2.644160032272339
62,5,1,2.613583564758301
63,5,1,2.504135847091675
64,5,1,2.5062851905822754
65,5,1,2.499319553375244
66,5,1,2.5078251361846924
67,5,1,2.571822166442871
68,5,1,2.626405477523804
69,5,1,2.5109262466430664
70,5,1,2.506760835647583
71,5,1,2.5195252895355225
72,5,1,2.512979745864868
73,5,1,2.625441551208496
74,5,1,2.511812686920166
75,5,1,2.5957915782928467
76,5,1,2.540268659591675
77,5,1,2.650997400283813
78,5,1,2.5039267539978027
79,5,1,2.499634027481079
80,5,1,2.527705192565918
81,5,1,2.514455795288086
82,5,1,2.512693405151367
83,5,1,2.521900415420532
84,5,1,2.501279592514038
85,5,1,2.4921157360076904
86,5,1,2.533782958984375
87,5,1,2.4950156211853027
88,5,1,2.5014359951019287
89,5,1,2.509821653366089
90,5,1,2.5059330463409424
91,5,1,2.498105764389038
92,5,1,2.5042736530303955
93,5,1,2.501739978790283
94,5,1,2.492976188659668
95,5,1,2.497161388397217
96,5,1,2.5294454097747803
97,5,1,2.520871162414551
98,5,1,2.4996936321258545
99,5,1,2.5057737827301025
100,5,1,2.563438892364502
101,5,1,2.5169503688812256
102,5,1,2.508479118347168
103,5,1,2.511604070663452
104,5,1,2.5650808811187744
105,5,1,2.495121479034424
106,5,1,2.516319513320923
107,5,1,2.5915844440460205
108,5,1,2.551588535308838
109,5,1,2.5333797931671143
110,5,1,2.521130084991455
111,5,1,2.5073862075805664
112,5,1,2.495107889175415
113,5,1,2.5094857215881348
114,5,1,2.5119426250457764
115,5,1,2.5412487983703613
116,5,1,2.505028486251831
117,5,1,2.515474796295166
118,5,1,2.4990391731262207
119,5,1,2.498766660690308
120,5,1,2.5356783866882324
121,5,1,2.5065255165100098
122,5,1,2.487194538116455
123,5,1,2.4895269870758057
124,5,1,2.5157687664031982
125,5,1,2.508704662322998
126,5,1,2.492666721343994
127,5,1,2.500639677047729
128,5,1,2.494345426559448
129,5,1,2.5007987022399902
130,5,1,2.508800983428955
131,5,1,2.50653338432312
132,5,1,2.500716209411621
133,5,1,2.530042886734009
134,5,1,2.4939560890197754
135,5,1,2.48914098739624
136,5,1,2.537646770477295
137,5,1,2.5099663734436035
138,5,1,2.509155750274658
139,5,1,2.5133330821990967
140,5,1,2.495691061019897
141,5,1,2.50320816040039
142,5,1,2.5021073818206787
143,5,1,2.518231153488159
144,5,1,2.507869243621826
145,5,1,2.5297577381134038
146,5,1,2.627033472061157
147,5,1,2.675905466079712
148,5,1,2.5090649127960205
149,5,1,2.5289745330810547
150,5,1,2.648775577545166
151,5,1,2.5130300521850586
152,5,1,2.5153064727783203
153,5,1,2.5354433059692383
154,5,1,2.519443988800049
155,5,1,2.5067358016967773
156,5,1,2.618283987045288
157,5,1,2.584067344665528
158,5,1,2.574491500854492
159,5,1,2.535908460617065
160,5,1,2.6307291984558105
161,5,1,2.5178451538085938
162,5,1,2.5086941719055176
163,5,1,2.5138261318206787
164,5,1,2.617270946502685
165,5,1,2.516830444335937
166,5,1,2.4993114471435547
167,5,1,2.5039753913879395
168,5,1,2.6205263137817383
169,5,1,2.509643793106079
170,5,1,2.52502703666687
171,5,1,2.498053789138794
172,5,1,2.653859138488769
173,5,1,2.530369758605957
174,5,1,2.548866033554077
175,5,1,2.732445001602173
176,5,1,2.5156397819519043
177,5,1,2.5629653930664062
178,5,1,2.622443914413452
179,5,1,2.4979279041290283
180,5,1,2.506734848022461
181,5,1,2.6089847087860107
182,5,1,2.5021393299102783
183,5,1,2.503870248794556
184,5,1,2.6289849281311035
185,5,1,2.5115551948547363
186,5,1,2.5081138610839844
187,5,1,2.498500108718872
188,5,1,2.538368463516236
189,5,1,2.632206916809082
190,5,1,2.5071160793304443
191,5,1,2.508122444152832
192,5,1,2.6553659439086914
1,5,2,2.289536476135254
2,5,2,1.4709978103637695
3,5,2,2.316882371902466
4,5,2,2.4159176349639893
5,5,2,2.3415191173553467
